,Sentence,Label
43,Babam makinamı kırdım diye bir daha almam diyor sinir küpüne dönüştü adam ,kızgın
44,Bts’i etiketlerden sürekli Beşiktaş çıkıyor delireceğim,kızgın
45,Yazmayın bana sinirliyim ağzımda ters kelime çıkabilir ,kızgın
46,Hala yüzünüz kızarmadan gülebiliyorsunuz ya şaşkınlık verici.,surpriz
47,Yüzüne okumaya o kadar kaptırmışım ki kardeşimin bağırmasıyla ödüm koptu ,korku
48,Millet çok mutluyum alevimin doğum günüsü,mutlu
49,Moralim o kadar bozuk ki böyle zamanlarda destek olacak biri olmalı yanında ama nerde bende o şans ,üzgün
50,Açık sarı bizimle kaldı yaşasın ,mutlu
51,Dizinin arka planında uzun eşek oynayan Koreliler görmek de enteresan bir sürpriz oldu. ,surpriz
52,Gerizekali ben ne diyorum sen ne halt yapıyorsun delireceğim,kızgın
53,Bir türk kahvesi içiyim dönerim tekrar sohbet ederiz aşklar öptüm,mutlu
54,Ts editörü o kadar uğraşmış ki kaç dilde teşekkür edeceğimi şaşırdım ?? ,surpriz
55,Gerçeklere hayret etmek mucizesi bulsun hepimizi,surpriz
56,Kabus gibi bir günün ardından yarın 3/B ye dersim var. Ölmeden mezara girmek bu bence,korku
57,Moralim bozuk ama niye bozuk onu bilmiyorum,üzgün
58,"Çok teşekkür ediyorum güzel bir sürpriz oldu benim için , İyiki varsınız",surpriz
59,"Resmini öptüm de yattım, iyi geceler ",mutlu
60,Keşke tek sosyal medya twitter kalsa bi anda insta falan çökse,üzgün
61,kültür ve iletişim dergisinin 40. sayısına ulaşabilsem keşke.,üzgün
62,Şey çok güzel değil mi ya ezan okunurken herkesin aynı anda kendine çeki düzen vermesi,mutlu
63,Mutluyum ama efkarli şarkılar dinliyorum işte böyle de harikayım,mutlu
64,Nerede lan benim çikolatalı sütüm bak sinirlendim.,kızgın
65,Üzüldüm ama bunları yedirdiğin dutlara sayıyorum,üzgün
66,Endişe verici bir sakinlik bu içinden hiç çıkmak istemediğim,korku
67,Ekmek arası peynir çok güzel bir besin kaynağı canım ekmek arası peynir,mutlu
68,çıldıracağım kafayı yiyeceğim,kızgın
69,üniversitenin bizleri soktuğu o korkunç durum !! ,korku
70,Böyle rüya mı olur kabus gibiydi resmen,korku
71,Puzzle nasıl hobi olabilir tamamen sinir küpü olmak için ortaya atılmış bir şey,kızgın
72,Haftalardır çantamda kitap gezdirip bir türlü okumaya fırsat bulamıyorum yıprandım.,üzgün
73,Antidepresan kullanmaya başladığımdan beri daha da agresif oldum bu işte bi terslik var,kızgın
74,Az önce öyle bir cesaretle öyle bişey yaptım ki kendime şaştım yani oha,surpriz
75,Gece korktum sanırım..! Dudağım uçuklamış..,korku
76,Belgesellerde Duyamazsınız: Vahşi Doğadaki Hayvanlar ile İlgili 7 Şaşırtıcı Gerçek ,surpriz
77,Genel olarak 7 öğün asabi ve agresifim ara öğünler sinirli.,kızgın
78,Samuel Eto'o için sürpriz transfer iddiası,surpriz
79,"Fena şekilde hüzünlüyüm, dışarıdayım ve kulaklığım yok. Bu hayattaki görevim bitmiştir.",üzgün
80,Bizim için en büyük sürpriz hala Aykut kocamanın yaptığı yanlışları görmeyip yanlış yapmaya devam etmesi. ,surpriz
81,Kim bilir belkide bağlanmaktan korkuyorum...,korku
82,Bir haftadır sürekli limonlu sıcak su içmekten bıktım yeter hastalık peşimi bırak,üzgün
83,"Gözlerini neden öyle yapıyorsun, korkuyorum",korku
84,"Kimin ahı varsa bende, gelsin özrümü dileyeyim de kapansın konu. Olmuyor böyle çok yoruldum vallahi bak.",üzgün
85,"Belirsizliklerden çok sıkıldım, net olun.",üzgün
86,Ben mutsuzluktan saçlarımı kestirmekten bıktım onlar mutsuz etmekten bıkmadılar. ,üzgün
87,Açıklamasında birde yargı bağımsızlığı ile ilgili kısım var epey komik .,mutlu
88,Sabah sabah aklımda ne işin var ya bir defol git...,kızgın
89,Tam ölü taklidi yapmalık bir gün,korku
90,son dakikaları çok güzel geçiyor bursa maçının,mutlu
91,Hayret ettim. Böyle bir açıklama beklemiyordum. ,surpriz
92,Yıprandım kimseye gücüm yok,üzgün
93,kendimi harika hissediyorum yeniden hayat doldum sanki ,mutlu
94,"Tekirdağ’da trafik kazası : 1 ölü, 3 yaralı ",korku
95,Gözümü kapıyorum o an geliyor Allah'ım ne korkunçtu ya,korku
96,Uyumadığım zamanlar için çok pişmanım..,üzgün
97,Bir süre ayağımdan asla çıkmıyacak bir ayakkabı aldım baya mutluyum,mutlu
98,Fragmanın gelmediği her an daha da agresif hissediyorum bir şeyler oldu bana,kızgın
99,Gerizekalı prim yaptığını anlamayacağımızı sanıyor,kızgın
100,Oha gerçekten dünyayı gezmeden önce kendi ülkemi mi gezeyim? Ciddi olamazsın ya bu orijinal fikrin hemen patentini al.,surpriz
101,"Biraz da kayboldum, yoruldum ama kaçmadım savaş yanlısı saçlarından",üzgün
102,Korku filmi gibiydi. Evde yalnızım ve ışık bir yanıp bir sönüp kapandı. ,korku
103,Dünyadaki en kötü şey zamanını göz göre göre boşa harcadığını görmek. İliklerime kadar pişmanım anasını satayım.,üzgün
104,Oha benimki öylesine bir umut da sen belki arkasından geçtin,surpriz
105,Yaşasın 14 şubatta hediye alma derdi olmayanlar tayfası,mutlu
106,Lan padişah diye bağırıyor gerizekalılar ,kızgın
107,Ne zamandır grip olmuyorum ne kötü bişeydir bu ya berbat hissediyorum kolumu zor kaldırıyorum ya! Ve gözlerim doluyor ,üzgün
108,"Yorgunum, mutsuzum, umutsuzum ben bu üçgenin içinde kahrolup gidicem",üzgün
109,Aşk öpüşmekten dudakları morarana değil seni seviyorum derken yanakları kızarana yakışır.,mutlu
110,Melek yüzlü adam bir an şeytana dönüştü korktum bir an ben,korku
111,Çok yıprandım artık lisansı bitirip işsiz kaldığım evreye geçmek istiyorum.,üzgün
112,Size şimdi hayret edici birşey söylücem çoğu şehre kara kış gelmişken biz burdur da hala kısa kollu giyiyoruz,surpriz
113,Fineas ve förb izliyordum kliplerinin top 10 listesini verdiler çok eğlendim çok mutluyum,mutlu
114,adam cama yazmış kocaman 'hayalet sütyen gelmistir' ürktüm :),korku
115,Çok sinirliyim her an camdan atlayabilirim,kızgın
116,Oha burak yılmaz ofsayta yakalanmadı.,surpriz
117,"Ee sonra nolmuş ? Hadi canım sen de, ciddi misin ? İnanmıyorum ?",surpriz
118,Klasik sınavlardan nefret ediyorum. Test sanki modern çağın sınavıymış gibi geliyor,kızgın
119,Şu okulda bir şeyler kaybetmekten sıkıldım artık Okul okul değil kara delik sanki ,üzgün
120,Evet karanlıktan korkuyorum hatta ödüm bokumda şu an ,korku
121,Neyi kutlayacağımı şaşırdım.,surpriz
122,Bunu duyduğuma sevindim İyi çalışmalar diliyorum,mutlu
123,Yaklaşık bir saat önce yine AR2673 güneş lekesinde patlama oldu. Gelen görüntüler ürkütücü,korku
124,"Günaydın, bugün harika hissediyorum tüm iğrençliklerden uzak :) çok şükür",mutlu
125,Türkmeneli Futbol Milli Takımı ziyaretimize geldi. Bizim için çok güzel bir sürpriz oldu. ,surpriz
126,Her şeyin bilincindeyim keşke olmasam,üzgün
127,Serra birden şiir okumaya başladı korktum,korku
128,Güzel sanatlardaki uzun saçlıları da beğendim,mutlu
129,Allah'ım çok korkunçtu ya,korku
130,Bir an da'yı ayıramadın sandım ödüm koptu. Gönlümü aldın ama,korku
131,İstemsiz moralim bozuk sanırım hoşlanmıştım,üzgün
132,Bugün hiç tweet atmadım çünkü mutluyum :),mutlu
133,"Optimum çok kalabalık, müthiş bir atmosfer var, birazdan çıkacaklar, 3. salon da açıldı",mutlu
134,Doğal olmak basit bir tavırdır ve bildiğin en sinir bozucu tavır... ,kızgın
135,bütün gün gerizekalı bir edebiyat ödevi için uğraştığıma inanamıyorum ya nefret ediyorum şu dersten nefret,kızgın
136,Aşıların işe yaramadığını zannedenlerin sayısının artması endişe verici. Artık her yerdeler.,korku
137,Böceklere karşı fobim var diye habire onlarla karşılaşmaktan BIK-TIM,korku
138,"Bilader bir kelime var ama nerde nasıl olursa olsun sinir bozucu. ""Peki""",kızgın
139,Hayatımda ilk defa düdüklü tencere patlamasına denk geldim. O da benim çorba yapışıma denk geldi. Korkunçtu. İyiyim.,korku
140,Türkiye'de çocuk olmanın bedeli korkunç... Bebek ölüm hızı binde 12... 2016'da zorla... ,korku
141,Nasıl karaktersizsiniz ya vallahi hayret ettim ama o kuş uçtu bebeğim ya.,surpriz
142,Hayatın espiri anlayışı şaşkınlık verici.,surpriz
143,Şirketin tüm dedikoduları bende toplanıyor bunaldım amk.,üzgün
144,"Bence Türkiye diyet yapılabilecek bir ülke değil, üzgünüm.",üzgün
145,Lan bu saatte doğa fotosu paylaşmak ne mal mısın,kızgın
146,Bir fenerbahçeli olarak çok şaşırtıcı ama beşiktaşın turu geçeceğini düşünüyorum ve…,surpriz
147,Benimle ilgili yorum yapan saçma sapan insanlara hayatımı açıp baksana sen neresindesin diye göstermek istiyorum.,kızgın
148,Otobüste bir delikanlı yer verdi yemin ederim ben şok hala umut varsa demek,surpriz
149,Atom diye sokaklarda pervasızca bağırmak istiyorum şu anda ,kızgın
150,Resmen rüyamı gerçek sanıyordum ve korktum,korku
151,İnternetin kotası doldu çok öfkeliyim,kızgın
152,Evladım yapmayın böyle şeyler be ödüm koptu ya,korku
153,"yalnızım, mutsuzum, sıkıldım, çalışmak istemiyorum, açım",üzgün
154,Rüyamda resmen bilim kurgu filmi çektim ya inanılmaz güzeldi inanılmaz,mutlu
155,Son farmakoloji dersini de veremedik ağlayacağım sayın seyirciler ,üzgün
156,1 saatlik arada ne kadar çok iş başardım öyle ben şok,surpriz
157,"Güldüm, eğlendim keyfim yerine geldi ya ",mutlu
158,Nereden bakarsam bakıyım mutsuzum,üzgün
159,Ağlamayla dolu saatler bunlar hep... ,üzgün
160,Yemin ederim sizinle uğraşamam benimle muhatap olmayın,kızgın
161,vallahi delireceğim nereye düştük böyle amk ya,kızgın
162,"sessiz iyi demeyin, bazen sessiz en gürültülü sesten daha ürkütücü.",korku
163,Kartal bebişe kalp bulunmuş. Günün en mutluluk verici haberi ilan ediyorum,mutlu
164,Spordan her geldiğimde boyum kısalmış mıdır diye korkuyorum neden amk,korku
165,Oha fizikten 57 almışım,surpriz
166,uykuyu seçtiğim için pişmanım eve gelir gelmez ödül törenini izlicem,üzgün
167,"Malesef ki Hakkari'de bir Askerimiz Şehit oldu. Başımız sağolsun, Allah yakınlarına ve Ailesine sabır versin.",üzgün
168,Diyelim ki ben bu gece çok kötüyüm. Nasıl teselli edersiniz,üzgün
169,Sabah sabah seni televizyonda gördüm ben şok,surpriz
170,Şu an o kadar sinirliyim ki ilk gördüğüm insanı öldürebilirim,kızgın
171,Pişmanlık duyduğunuz ne varsa yakın gitsin,üzgün
172,Altın kelebekte bir ilk ! İlk defa güzel başladı. vallahi beğendim ,mutlu
173,Vay be.. demekki bizden de kötü performans gösterenler varmış.,surpriz
174,"SK Hynix sürpriz yaptı, GDDR6 belleklerini piyasaya sürdü ",surpriz
175,İnşallah bir daha karşıma çıkmazsın senden nefret ediyorum NEFRET,kızgın
176,Saçlarımı kestirmeye geldim ben bile korkuyorum kendimden şu an,korku
177,"Bugün çok yorgun ve mutsuzum, bir an önce ölmek istiyorum",üzgün
178,Çok hoş olduğunuz için çok teşekkür ederim,mutlu
179,Çok komik bu adam. FED Başkanı sanıyor kendini. Bir havalar bir havalar :),mutlu
180,Tahmin ettiğim kişi mi? Ciddi olamazsın..,surpriz
181,"Evdekilerden biri kalkıp tuvalete gitti şu an. Korku filmi gibi, ALLAH YARDIM ET ",korku
182,eğitim sistemi cidden berbat saçma sapan gerizekalı bir sistem ,kızgın
183,"yok artık inanmam vallahi, ne gerek vardı ki aslında :)",surpriz
184,Uyumadan önce çok acayip bir şarkı yazmışım. sevindim şu an.,mutlu
185,Saat 9 dan beri su yok çıldıracağım,kızgın
186,İlk kez İstanbula gelip zamanımı güzel değerlendirdim sanırım Dolu dolu geçti 4 gün Seri bitti çabuk döndüm Yarın yayın ,mutlu
187,Ya ya ben bile şoktayım senden bir sürpriz beklerdim,surpriz
188,Kardeş mal mısın ne o özürlü özürlü hareketler defol git uzakta yaşa ya,kızgın
189,23 yaşıma geldim hala dişçiden korkuyorum,korku
190,Hadi canım başka adam mı yoktu çok şoktayım,surpriz
191,İçinizde öldürdüğünüz kişiyi karşınızda görmek çok korkutucu değil mi?,korku
192,Hava soğudu kaloriferleri kapattılar bu nasıl yurt ya delireceğim,kızgın
193,Böyle bir şey okuduktan sonra nasil fikir beyan edebiliyorsunuz gerçekten anlamıyorum. Ben dondum kaldım. ,surpriz
194,arkadaşlar bir süredir böyle aynı anda aynı şeyleri yazıyoruz korkutucu ,korku
195,Böyle bu şekilde olmasaydı keşke yıprandım duygularım köreldi,üzgün
196,Bana kısa cevap vermeyin çok sinir oluyorum ya,kızgın
197,İnstagram keşfet sen nelere kadirsin skdajsk çok komik bir şey oldu az önce,mutlu
198,Ortamda en olmayacak en imkansız kişi misiniz? Tebrikler size aşık oldum,mutlu
199,bağıracağım şimdi o sen olsan bari diye,kızgın
200,Özel hayatıma burnunu sokan insanlara karşı fobim var,korku
201,Zihniyetini ayakta alkışlıyorum ego ne alaka kardeş sinir oluyorum boş insanları takip ediyorum diye.,kızgın
202,Attığım tivik de gitmemiş delireceğim,kızgın
203,Tüm Türkiye de size yapılan küfürler ile inliyor şu an. Şerefsizler. Hain sürüsü,kızgın
204,Dow Jones herkesi yeterince korkuttu. Biraz yatay takılıp sonra yükselebilirsin mr. kovboy,korku
205,Gittiğim gençlik kampı inanılmaz güzeldi.Bütün liderlerimi seviyorum,mutlu
206,"İstediğin insanla mutlu ol, o yüzün hep gülsün ama lütfen artık defolup git şu aklımdan",kızgın
207,Eve geldim mutluyum huzurluyum,mutlu
208,Çok korkmuş benim güzel baharım,korku
209,Kardeşim 300 liraya nerf almış olum mal mısın ya,kızgın
210,6000 karakter çeviriyi bu kadar kısa zamanda ve bu kadar rahat bir şekilde yapmama epey şaştım..,surpriz
211,İş görüşmesine gittim Paris mi Amerika mı diye sordular şoktayım cevap veremedim ?? ,surpriz
212,Karadenizli olmayanların şive yapmaya çalışması çok sinir bozucu değil mi,kızgın
213,İnanki ağlamadım hüzünlüyüm sadece ,üzgün
214,Biraz yatırım yapsaydım keşke bak yine dertlendim,üzgün
215,bu seneki festivaller efsane geçiyor her gün festival olsa da coşsak ,mutlu
216,ardeşim montunu arkama bu şekil koymuş birden arkama dönünce irkildim ,korku
217,Rahatsız ediyormuşum gibi numarayı değiştirmek nedir ya inanamıyorum,surpriz
218,İçerde'ye ödül vermediler şu an exo'ya haksızlık yapılmış gibi kızgınım,kızgın
219,"Bana yalan söylediğine üzülmedim, bundan sonra sana inanamayacağıma üzüldüm.",üzgün
220,Beyin henüz transfer edilemiyor sizin için üzgünüm,üzgün
221,Benden de inatçı biri varmış çok şaşırdım ben son dereceyim sanıyordum,surpriz
222,Susarak asil olmak bana göre değil illa küfür edeceğim,kızgın
223,Haftasonu aralıksız saatlerce uyabilecek kadar yoruldum tükendim ağlamak istiyorum,üzgün
224,Ölüm mü bu yoksa araftamıyım özgür bu her ne ise yaşamaktan daha korkunç,korku
225,Senin şu an haberin yok ama çok kızgınım sana.,kızgın
226,Alışık olmadığım bir durum gereksiz mutluyum ??,mutlu
227,kaç büyüklüğündeydi bu ya korktum galiba,korku
228,Dondum kaldım resmen ne pozisyon kaçırdılar be,surpriz
229,Elektrik gidince İdil sokağı. Böyle bir karanlıkta okula gitmek korkutucu oldu. ,korku
230,Bu yeni kuş ne biçim suratıma atlıyor ödüm koptu resmen,korku
231,"Sabahın bu saatine kadar kaç korku filmi bitirdim hepsi kabus olacak, uyudu.",korku
232,Bu takım her gol yediğinde kel kafalı başkan sana küfür edeceğim,kızgın
233,Kale anaokulu'ndaki tüm mesai arkadaşlarıma teşekkür ederim. Güzel bir sürpriz oldu... ,surpriz
234,Biraz Esra Erola bakayım dedim hüngür hüngür ağlıyorum anlık. Siz bunu nasıl izliyorsunuz,üzgün
235,Bu sistem beni yirmi iki bin beş yüz altmış tele borçlandırdı ama mutluyum,mutlu
236,Bize bu ayrılığı reva görenlere de bir miktar kızgınım,kızgın
237,Mayısı bekleme erken seçim yap ve defol git !,kızgın
238,Passolig ben cezayı Bozüyük vitraspordan aldım ya Beşiktaş bayern maçına girememek ne delireceğim,kızgın
239,Arkadaşlığınıza bayılıyorum. Bu fotoğraf acayip hoşuma gitti. ,mutlu
240,Bir Karadeniz kızından gelebilecek en güzel hediye teşekkür ederim Sibelim var ol,mutlu
241,Bir rüya gördüm çok korkunçtu.,korku
242,ya sabah sabah sinirden köpürdüm yine gram tahammülüm kalmadı patlıyacam çok yakında,kızgın
243,"Ya bu kısım inanılmaz güzeldi, Namjoon sana aşığım ",mutlu
244,Bugün Robinimle sahilde bir güzel eğlendik,mutlu
245,Mesleki gelişim 55 mi haha harika hissediyorum,mutlu
246,Ya of 4 senedir şu okula gelip gitmekten bunaldım artık sıralar bile bana ' yine mi sen geldin ? ' diyor,üzgün
247,NtvSpor’un kapanmasıyla bu Kırmızı Çizgi programının bitecek olmasından dolayı çok mutluyum,mutlu
248,Artık aşkım var çok mutluyum aşkımla,mutlu
249,Bu 3 yaş düzeyi zırvalamayı neyle izah edeceğimi şaştım savcım,surpriz
250,"Hayat hiç beklediğim gibi gitmiyor ve ben buna çok sinirleniyorum, doktor hanım.",kızgın
251,Şu an sokağa çıkıp sağda solda eyşana küfürler saçmak istiyorum sinirden delirdim resmen,kızgın
252,kardeş tıp bayramın mübarek olsun ,mutlu
253,Sırf inat ve egonuz yüzünden bu küfürler ,kızgın
254,Serdar Azizi TT görünce gene sakatlandı sandım ödüm koptu,korku
255,O kadar mutsuzum ki nasıl anlatayım ki?,üzgün
256,Kolaya giden maçları zora çevirmekte üstümüze yok. Sinir küpü durumlar.,kızgın
257,"En ufak abartı yok bu diyeceğimde. Bazı günleri, bazı insanları ve bazı anları özlemekten soldum, tükendim, halim kalmadı.",üzgün
258,salak mısın ya gerizekalı yemin ediyorum mal matematikten farkın yok,kızgın
259,Ben bile hayret ettim şu yaptıklarıma,surpriz
260,Severek ayrılanlar bilirler ayrılığı. Severek ayrılanlar yaşarlar pişmanlığı.. ,üzgün
261,Mirayı kız kardeşim olarak atadım öyle çok seviyorum,mutlu
262,Bu baş ağrısı ders çalışmama engel oluyor bu yüzden agresifim,kızgın
263,özelden arıyorsunuz niye konuşmuyorsunuz amk mal mısınız,kızgın
264,Gerçekten çıldırmış bu insanlar bir kere ya bir kere şaşıralım vay diyelim helal olsun ,surpriz
265,O kadar sinirleniyorum ki kendime bile niye bu kadar sinirlendiğim için sinirleniyorum,kızgın
266,Canavarlı korkunçlu kâbus gördüm. Bilinçaltım tbt yapıyor.,korku
267,Bütün akrabalarımı stalkladımm çok eğlendim,mutlu
268,Ne yani böylesi korkunç bir dünyanın bir de cehennemi mi var?,korku
269,"Vedaları sevmiyorum, soguk oluyor, acı, mutsuz ",üzgün
270,Bir kız alışveriş yapmaktan nefret eder mi? Ettim,kızgın
271,Annem ben zannetti. Hiç alakamız yok ama sevindim. Çok güzelsin ya.,mutlu
272,vallahi cok şaşkınlık verici ya şaşırdım :(,surpriz
273,Yemin ederim huzurum kalmadı bıktım,üzgün
274,Gerçek aşk'ı bulduğunda sevgisini öyle bir gösterir ki. Diğer insanlar bende seviyorum demeye utanır..,mutlu
275,Fırından yeni çıkmış yumuşacık anne kekini sevdiğim gibi seviyorum seni,mutlu
276,Gol yedik ama ofsayt ödüm koptu dondum 3 saniye falan,korku
277,sevdiğim insanlar yanımda değil ya çok sinir oluyorum,kızgın
278,"Müthiş sesli Belçikalı Selah Sue, Raggamuffin'i söylüyor. Bu eski kayıtta henüz 17 yaşında. ",mutlu
279,Yağında durumu bu ne diyebilirim ki üzgünüm ,üzgün
280,"Üzgünüm, tekrar birine kendimi anlatabileceğimi sanmıyorum.",üzgün
281,E devletten soy ağacıma bakıcam umarım laz çıkmam çok korkuyorum,korku
282,Bu çok endişeli bir akla düşüş. ,korku
283,Gece tam bunu dedim inanmıyorum,surpriz
284,Seni seven kalbim şu an senden nefret ediyor..,kızgın
285,Erkekleri artık anlayamıyorum çıldıracağım,kızgın
286,regl olcağıma 3 saat trigonometri görseydim keşke iki aynı derecede işkence çeşidi,üzgün
287,Ama eskisindende agresif oldum kafamda filler dans ediyor,kızgın
288,Çok korktum :(( hayatım gözümün önünden film şeridi gibi geçti,korku
289,Moralim hala çok bozuk 1-2 gün fazla online olamam hakkınızı helal edin,üzgün
290,Söz dizisini bunca zamandır izlememiş olan benliğime bir miktar kızgınım,kızgın
291,Gece rüyamda gördüğüm insanın sabah mesaj atması nedir ? ürktüm bir,korku
292,"Ben böyle ilişki görmedim ömrümde, şaştım",surpriz
293,17 yaşındaki kuzenimin 37 yaşında bir adamla çıktığını(?) öğrendim napcağımı şaşırdım şu an boş boş ekrana bakıyorum,surpriz
294,Diriliş Ertuğrul'da oynayıp da bu cümleyi kurmasına hayret ettim.,surpriz
295,Tarih ve sosyoloji bilmeden güncel siyaset hakkında konuşmak insanı epey komik duruma düşürüyor.,mutlu
296,3 senedir görüşmüyoruz ilk buluşmamız hastanede oldu şaşkınım,surpriz
297,Sen anlat Karadeniz paylaşımlarından bıktım,üzgün
298,"Ne kadar da güzelmiş, hoşmuş, iyiymiş bu dizi ",mutlu
299,Seni kaybetmekten o kadar korktum ki kaybettim,korku
300,Buse makarna yapacak bu havada ben bile zor kaynıyorum su nasıl kaynasın amk dedi ben şok,surpriz
301,taksiciden biraz ürktüm sümkürüp kendinden tiksindir diyen fav,korku
302,Bugün çok harika hissediyorum sadece bazen yarın pazartesi diye hatırlayınca biraz hüzünleniyorum ama geçiyor hemen :)),mutlu
303,Kaçın burdan başımıza taş yağacak ben irkildim,korku
304,Bu saatte sela okunması ürkütücü,korku
305,Telefonuma birini isim soyisimle kaydetmem için sevmiyor veya nefret ediyor olmam lazım,kızgın
306,En çok da bilim ile ilgili konuşulurken işin içine din sokmalarına sinir oluyorum,kızgın
307,Çok mutluyum çünki 6 aydır Hatay beni görmemişti,mutlu
308,Annecim inanamıyorum sana nasıl bu kadar sorumsuz bir çocuk yetiştirebildin ,surpriz
309,Kedilerin Diğer Hayvanlardan Daha Korkutucu Olduğu Anlar ,korku
310,Hem uyuyamıyorum uyuyunca da kabus görüyorum. Korku filmi sahnesi gibi ,korku
311,Bak o daha güzel fantezi çok da eğlenceli olur ??,mutlu
312,Hakikaten insanlar korkudan mı yoksa cidden umursamadığından mi bu halde. Çok korkunç durum,korku
313,whatsap konusmalarindan ss aldığında bildirim filan gittiğini düşünsene.. ben bir irkildim.,korku
314,Örümcek fobim var an itibariyle,korku
315,Pazartesi ve 50 küsür hasta... şimdiden söyleyim çıldıracağım haberiniz olsun,kızgın
316,"Seriyi Amazon'un üstlenmesinden daha endişe verici bir şey varsa, o da seriyi PJ'den başkasının eline bırakmak.",korku
317,Az önce 60tl harcadım şimdi atmde sıra bekliyorum korkuyorum,korku
318,İnsan gerçekten hayret ediyor. Bir insan her detayıyla nasıl bu kadar mükemmel olabilir ,surpriz
319,Gençler aşık değilim sadece aşk açılı twitler atmayı seviyorum,mutlu
320,Şu an yarına herhangi bir alarm kurmadığım için çok mutluyum,mutlu
321,"Gökselle ortak noktamız varmış, ikimizde gök gürültüsü korkuyoruz...",korku
322,Yanaklarımı sıkan insanlara sinir oluyorum,kızgın
